【交付包清单】
﻿项目,值
交付包名称,reviewer-proof-package
交付包编号,PKG20260615042560
创建人,reviewer_1
创建时间,2026-06-15T22:04:02.559Z
状态,待复核
记录总数,2
读数记录数,1
异常记录数,1

【读数明细】
﻿表计编号,读数日期,原始值,修正值,能源类型,批次号
RV1781556793,2026-07-03,260,,电,

【异常明细】
﻿表计编号,读数日期,原始值,异常类型,异常状态
"[{""id"":""b271d07f-dab6-4528-b1e4-9d2b980a8aee"",""configKey"":""jumpThreshold"",""configValue"":""51"",""version"":2,""effectiveFrom"":""2026-06-15T19:44:00.227Z"",""effectiveTo"":null,""updatedAt"":""2026-06-15T19:44:00.227Z""},{""id"":""e4314924-87a5-4027-b667-ed71c73e5023"",""configKey"":""missingDays"",""configValue"":""3"",""version"":2,""effectiveFrom"":""2026-06-15T19:44:00.227Z"",""effectiveTo"":null,""updatedAt"":""2026-06-15T19:44:00.227Z""},{""id"":""e1b624d9-71b6-43cf-a38b-910a55f74913"",""configKey"":""rollbackEnabled"",""configValue"":""true"",""version"":2,""effectiveFrom"":""2026-06-15T19:44:00.227Z"",""effectiveTo"":null,""updatedAt"":""2026-06-15T19:44:00.227Z""}]",RV1781556793,ELECTRICITY,跳变,PENDING
