表计编号,能源类型,读数日期,原始值,修正值,读数状态,批次号,异常类型,异常状态,备注
RV200,水,2026-08-06,70,,异常,BATCH_1781547913319,缺失,PENDING,与上次读数间隔 5 天
RV100,电,2026-08-02,300,,异常,BATCH_1781547913319,跳变,PENDING,
RV100,电,2026-08-01,100,,原始,BATCH_1781547913319,,,
RV200,水,2026-08-01,50,,原始,BATCH_1781547913319,,,
B001,电,2026-07-13,400,,原始,BATCH_1781547475738,,,
B001,电,2026-07-12,300,,原始,BATCH_1781547475738,,,
B001,电,2026-07-11,200,,异常,BATCH_1781547475424,跳变,PENDING,
B001,电,2026-07-10,100,,原始,BATCH_1781547475424,,,
M001,电,2026-07-03,2000,,异常,BATCH_1781547474668,跳变,PENDING,
M001,电,2026-07-02,1100,,原始,BATCH_1781547474668,,,
W001,水,2026-07-02,600,,原始,BATCH_1781547474668,,,
M001,电,2026-07-01,1000,,原始,BATCH_1781547474668,,,
W001,水,2026-07-01,500,,原始,BATCH_1781547474668,,,
M001,电,2026-06-05,1900,,异常,BATCH_1781547530052,回退,已忽略,测试忽略
M001,电,2026-06-04,2100,,原始,BATCH_1781547530052,,,
W001,水,2026-06-04,800,,原始,BATCH_1781547530052,,,
M001,电,2026-06-03,2000,,异常,BATCH_1781547529939,跳变,PENDING,
W001,水,2026-06-03,700,,原始,BATCH_1781547530052,,,
M001,电,2026-06-02,1100,,原始,BATCH_1781547529939,,,
W001,水,2026-06-02,600,,原始,BATCH_1781547529939,,,
M001,电,2026-06-01,1000,,原始,BATCH_1781547529939,,,
W001,水,2026-06-01,500,,原始,BATCH_1781547529939,,,
